order_id,product_id,quantity
1001,106,3
1002,104,9
1003,107,5
1004,106,8
1005,107,7
1006,106,4
1007,105,7
1008,101,5
1009,110,1
1010,108,3
1011,105,6
1012,108,5
1013,108,7
1014,106,1
1015,101,6
1016,110,2
1017,103,1
1018,103,6
1019,102,5
1020,103,9
1021,107,6
1022,103,6
1023,102,3
1024,105,2
1025,110,5
1026,108,6
1027,106,5
1028,105,3
1029,103,2
1030,107,8
1031,110,5
1032,102,6
1033,107,7
1034,109,1
1035,110,5
1036,103,6
1037,107,7
1038,103,2
1039,103,7
1040,101,7
1041,101,3
1042,108,1
1043,104,3
1044,105,4
1045,105,8
1046,102,8
1047,108,8
1048,110,7
1049,107,1
1050,102,7
1051,102,8
1052,101,9
1053,103,1
1054,102,4
1055,105,2
1056,102,7
1057,104,3
1058,110,4
1059,104,3
1060,104,8
1061,101,1
1062,109,5
1063,101,8
1064,107,7
1065,106,1
1066,110,7
1067,102,6
1068,106,7
1069,108,9
1070,109,2
1071,110,1
1072,109,4
1073,106,4
1074,107,8
1075,101,8
1076,106,6
1077,104,5
1078,102,9
1079,104,8
1080,105,1
1081,102,6
1082,105,4
1083,104,6
1084,101,8
1085,104,2
1086,102,3
1087,101,5
1088,108,6
1089,105,6
1090,103,9
1091,106,1
1092,108,7
1093,109,7
1094,101,4
1095,106,4
1096,110,8
1097,105,6
1098,105,5
1099,107,1
1100,110,9
1101,109,2
1102,109,2
1103,110,1
1104,101,9
1105,103,5
1106,107,6
1107,103,2
1108,106,8
1109,104,4
1110,109,7
1111,109,8
1112,101,4
1113,105,9
1114,101,6
1115,109,2
1116,106,2
1117,108,8
1118,104,1
1119,104,9
1120,105,5
1121,101,1
1122,102,2
1123,109,8
1124,106,9
1125,106,6
1126,110,6
1127,105,5
1128,110,9
1129,108,4
1130,103,4
1131,107,8
1132,107,6
1133,104,6
1134,101,9
1135,109,4
1136,106,8
1137,103,2
1138,103,3
1139,102,9
1140,105,5
1141,106,2
1142,108,3
1143,102,5
1144,106,3
1145,105,1
1146,105,6
1147,108,9
1148,106,1
1149,101,5
1150,109,9
1151,107,7
1152,106,9
1153,104,1
1154,105,4
1155,110,3
1156,107,8
1157,104,1
1158,105,3
1159,108,4
1160,106,5
1161,110,4
1162,101,8
1163,107,4
1164,106,4
1165,108,1
1166,108,5
1167,106,1
1168,110,6
1169,104,7
1170,106,6
1171,103,5
1172,103,5
1173,105,4
1174,105,4
1175,109,2
1176,101,7
1177,106,5
1178,110,1
1179,102,4
1180,101,6
1181,101,5
1182,103,5
1183,108,4
1184,105,8
1185,107,5
1186,110,8
1187,106,1
1188,102,2
1189,104,1
1190,103,4
1191,104,4
1192,101,5
1193,101,7
1194,101,8
1195,102,1
1196,107,5
1197,103,7
1198,106,1
1199,107,3
1200,109,1
1201,108,3
1202,108,8
1203,107,9
1204,108,1
1205,110,6
1206,106,2
1207,106,9
1208,104,5
1209,101,3
1210,109,5
1211,105,8
1212,103,4
1213,105,6
1214,108,5
1215,109,2
1216,107,2
1217,107,2
1218,109,3
1219,103,3
1220,104,2
1221,107,5
1222,102,8
1223,105,9
1224,105,5
1225,107,7
1226,106,5
1227,101,2
1228,107,4
1229,107,2
1230,104,6
1231,110,9
1232,108,1
1233,110,3
1234,107,9
1235,105,2
1236,102,8
1237,104,2
1238,110,3
1239,102,8
1240,101,2
1241,107,6
1242,106,9
1243,103,9
1244,110,8
1245,110,5
1246,105,4
1247,105,5
1248,106,4
1249,102,4
1250,109,7
1251,106,6
1252,107,2
1253,102,9
1254,103,5
1255,101,9
1256,109,6
1257,109,5
1258,110,2
1259,102,7
1260,108,6
1261,104,7
1262,109,3
1263,105,8
1264,106,8
1265,102,9
1266,108,2
1267,104,2
1268,101,8
1269,107,8
1270,106,4
1271,108,8
1272,103,4
1273,101,8
1274,107,5
1275,107,3
1276,109,4
1277,106,9
1278,110,5
1279,104,8
1280,107,4
1281,109,8
1282,109,8
1283,107,1
1284,103,6
1285,104,9
1286,108,4
1287,102,4
1288,109,3
1289,103,7
1290,102,9
1291,104,9
1292,108,4
1293,109,6
1294,102,8
1295,110,7
1296,109,1
1297,110,1
1298,104,1
1299,104,9
1300,108,6
1301,110,1
1302,103,7
1303,103,8
1304,110,7
1305,102,7
1306,106,6
1307,108,5
1308,104,1
1309,110,8
1310,108,2
1311,106,4
1312,104,2
1313,109,8
1314,106,8
1315,106,5
1316,107,4
1317,103,4
1318,104,6
1319,104,6
1320,103,2
1321,107,7
1322,101,7
1323,110,6
1324,101,4
1325,104,4
1326,108,9
1327,108,6
1328,102,4
1329,105,4
1330,107,6
1331,104,4
1332,102,8
1333,108,7
1334,102,6
1335,104,8
1336,102,3
1337,110,1
1338,109,2
1339,108,5
1340,103,9
1341,110,3
1342,108,6
1343,102,2
1344,106,2
1345,103,8
1346,105,7
1347,106,2
1348,110,5
1349,101,6
1350,107,8
1351,107,1
1352,102,8
1353,104,1
1354,106,5
1355,103,1
1356,109,6
1357,106,9
1358,104,5
1359,109,5
1360,101,1
1361,105,8
1362,104,2
1363,104,4
1364,106,6
1365,110,7
1366,103,6
1367,107,1
1368,107,7
1369,101,5
1370,107,8
1371,101,7
1372,108,9
1373,106,1
1374,109,4
1375,103,8
1376,108,1
1377,101,2
1378,102,8
1379,102,9
1380,106,3
1381,109,9
1382,103,3
1383,108,1
1384,109,5
1385,105,2
1386,110,1
1387,109,3
1388,105,1
1389,105,4
1390,110,3
1391,102,2
1392,102,2
1393,109,7
1394,104,1
1395,103,1
1396,107,7
1397,102,2
1398,110,2
1399,108,5
1400,108,5
1401,104,3
1402,105,5
1403,110,8
1404,110,5
1405,102,5
1406,106,1
1407,105,2
1408,103,1
1409,103,5
1410,105,6
1411,106,6
1412,110,9
1413,102,7
1414,106,6
1415,105,4
1416,110,7
1417,101,1
1418,103,5
1419,104,9
1420,104,1
1421,102,3
1422,107,1
1423,108,2
1424,103,4
1425,101,4
1426,105,9
1427,107,1
1428,109,8
1429,110,4
1430,105,5
1431,103,6
1432,106,2
1433,110,5
1434,110,9
1435,106,1
1436,104,8
1437,105,7
1438,105,6
1439,107,1
1440,109,7
1441,107,8
1442,104,9
1443,109,9
1444,104,8
1445,109,9
1446,110,9
1447,107,1
1448,101,3
1449,102,9
1450,110,3
1451,101,4
1452,107,1
1453,104,4
1454,101,5
1455,108,5
1456,110,9
1457,103,6
1458,105,3
1459,104,4
1460,104,9
1461,110,6
1462,106,7
1463,105,9
1464,110,5
1465,105,3
1466,106,8
1467,109,5
1468,106,7
1469,101,7
1470,103,3
1471,104,6
1472,110,2
1473,110,5
1474,108,2
1475,103,8
1476,101,3
1477,103,7
1478,103,6
1479,101,7
1480,107,1
1481,103,7
1482,105,3
1483,109,4
1484,107,4
1485,109,1
1486,102,1
1487,101,4
1488,103,9
1489,102,7
1490,108,4
1491,106,7
1492,107,4
1493,108,2
1494,106,5
1495,103,3
1496,102,3
1497,102,3
1498,102,8
1499,109,2
1500,104,7
1501,107,6
1502,109,3
1503,105,1
1504,109,7
1505,108,9
1506,105,2
1507,108,1
1508,105,1
1509,104,3
1510,105,3
1511,109,1
1512,110,2
1513,102,8
1514,107,3
1515,107,3
1516,109,7
1517,109,3
1518,103,1
1519,105,4
1520,110,4
1521,105,6
1522,108,3
1523,104,7
1524,106,5
1525,102,9
1526,109,5
1527,109,8
1528,109,3
1529,108,7
1530,105,6
1531,105,6
1532,108,5
1533,102,3
1534,108,9
1535,106,2
1536,101,7
1537,105,7
1538,107,5
1539,103,8
1540,106,4
1541,104,4
1542,108,1
1543,110,6
1544,108,5
1545,109,7
1546,107,7
1547,109,6
1548,109,5
1549,110,1
1550,104,9
1551,102,3
1552,109,1
1553,105,1
1554,104,1
1555,102,8
1556,105,9
1557,106,2
1558,109,5
1559,103,3
1560,103,7
1561,107,9
1562,109,2
1563,110,6
1564,103,2
1565,110,4
1566,108,1
1567,107,2
1568,102,7
1569,110,2
1570,105,3
1571,102,3
1572,108,3
1573,102,9
1574,106,2
1575,106,8
1576,109,6
1577,101,8
1578,107,9
1579,107,9
1580,106,1
1581,103,1
1582,104,6
1583,108,1
1584,102,6
1585,106,6
1586,107,5
1587,110,6
1588,101,9
1589,110,1
1590,102,4
1591,101,1
1592,103,6
1593,106,2
1594,107,5
1595,107,4
1596,104,8
1597,106,5
1598,110,8
1599,109,9
1600,102,1
